FrameSync,DateTime (UTC+00:00),Sample Number (#),Error Flags (#),External pH (pH),Internal pH (pH),External pH (Volt),Internal pH (Volt),pH Temperature (Celsius),Relative Humidity (%),Int Temperature (Celsius)
SEAFET02300,01/23/2024 22:20:00,159,0000,7.8903,7.8249,-0.941082,-0.989767,  17.1595, 21.0, 17.3
SEAFET02300,01/23/2024 22:30:00,160,0000,7.8905,7.8252,-0.941071,-0.989752,  17.1539, 21.0, 17.3
SEAFET02300,01/23/2024 22:40:00,161,0000,7.8909,7.8252,-0.941053,-0.989751,  17.1478, 21.0, 17.3
SEAFET02300,01/23/2024 22:50:00,162,0000,7.8915,7.8259,-0.941021,-0.989713,  17.1456, 21.0, 17.3
SEAFET02300,01/23/2024 23:00:00,163,0000,7.8903,7.8246,-0.941088,-0.989786,  17.1473, 21.0, 17.3
SEAFET02300,01/23/2024 23:10:00,164,0000,7.8903,7.8243,-0.941089,-0.989802,  17.1504, 21.0, 17.3
SEAFET02300,01/23/2024 23:20:00,165,0000,7.8893,7.8234,-0.941142,-0.989853,  17.1531, 21.0, 17.3
SEAFET02300,01/23/2024 23:30:00,166,0000,7.8881,7.8223,-0.941212,-0.989916,  17.1528, 21.0, 17.3
SEAFET02300,01/23/2024 23:40:00,167,0000,7.8880,7.8221,-0.941218,-0.989931,  17.1495, 21.0, 17.3
SEAFET02300,01/23/2024 23:50:00,168,0000,7.8882,7.8222,-0.941214,-0.989928,  17.1432, 20.9, 17.3
SEAFET02300,01/24/2024 00:00:00,169,0000,7.8878,7.8220,-0.941242,-0.989939,  17.1389, 21.0, 17.3
SEAFET02300,01/24/2024 00:10:00,170,0000,7.8881,7.8223,-0.941226,-0.989924,  17.1341, 21.0, 17.3
SEAFET02300,01/24/2024 00:20:00,171,0000,7.8886,7.8226,-0.941200,-0.989911,  17.1310, 20.9, 17.3
SEAFET02300,01/24/2024 00:30:00,172,0000,7.8881,7.8223,-0.941235,-0.989928,  17.1266, 20.9, 17.3
SEAFET02300,01/24/2024 00:40:00,173,0000,7.8925,7.8265,-0.940983,-0.989688,  17.1230, 20.9, 17.3
SEAFET02300,01/24/2024 00:50:00,174,0000,7.8919,7.8259,-0.941019,-0.989721,  17.1230, 20.9, 17.3
SEAFET02300,01/24/2024 01:00:00,175,0000,7.8907,7.8247,-0.941089,-0.989791,  17.1185, 21.0, 17.2
SEAFET02300,01/24/2024 01:10:00,176,0000,7.8919,7.8258,-0.941025,-0.989729,  17.1135, 21.0, 17.2
SEAFET02300,01/24/2024 01:20:00,177,0000,7.8916,7.8255,-0.941045,-0.989752,  17.1083, 21.0, 17.2
SEAFET02300,01/24/2024 01:30:00,178,0000,7.8930,7.8267,-0.940969,-0.989680,  17.1047, 21.0, 17.2
SEAFET02300,01/24/2024 01:40:00,179,0000,7.8935,7.8269,-0.940945,-0.989670,  17.0996, 21.0, 17.2
SEAFET02300,01/24/2024 01:50:00,180,0000,7.8932,7.8270,-0.940965,-0.989665,  17.0956, 21.0, 17.2
SEAFET02300,01/24/2024 02:00:00,181,0000,7.8945,7.8282,-0.940893,-0.989601,  17.0927, 21.0, 17.2
SEAFET02300,01/24/2024 02:10:00,182,0000,7.8939,7.8271,-0.940931,-0.989661,  17.0919, 21.0, 17.2
SEAFET02300,01/24/2024 02:20:00,183,0000,7.8924,7.8259,-0.941013,-0.989731,  17.0922, 21.0, 17.2
SEAFET02300,01/24/2024 02:30:00,184,0000,7.8910,7.8246,-0.941095,-0.989810,  17.0917, 21.0, 17.2
SEAFET02300,01/24/2024 02:40:00,185,0000,7.8926,7.8261,-0.941002,-0.989725,  17.0905, 21.0, 17.2
SEAFET02300,01/24/2024 02:50:00,186,0000,7.8941,7.8273,-0.940920,-0.989651,  17.0903, 21.0, 17.2
SEAFET02300,01/24/2024 03:00:00,187,0000,7.8931,7.8264,-0.940977,-0.989705,  17.0904, 21.1, 17.2
SEAFET02300,01/24/2024 03:10:00,188,0000,7.8929,7.8264,-0.940992,-0.989707,  17.0877, 21.0, 17.2
SEAFET02300,01/24/2024 03:20:00,189,0000,7.8931,7.8268,-0.940980,-0.989683,  17.0845, 21.0, 17.2
SEAFET02300,01/24/2024 03:30:00,190,0000,7.8935,7.8273,-0.940966,-0.989656,  17.0770, 21.1, 17.2
SEAFET02300,01/24/2024 03:40:00,191,0000,7.8903,7.8240,-0.941154,-0.989853,  17.0679, 21.0, 17.2
